Column_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Computed,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Uses_Default,Engineer,Table_Name,PK_Flag,FK_Flag,Native_Type,Sequence,ModelID,Num_ModelID,Model_Name,T_Size,T_Precision,T_Scale
"bairro",6775402F-CC00-B800-4CFE-304740E6DDAA,190,,F0DCA372-CFB3-982D-A9D7-FB7B55198534,178,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"TB_ENDERECO",,,VARCHAR2,4,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",50 CHAR,,,
"chatbot_response",A5B8661F-6EFB-F1B3-868D-DBA4D672E392,191,,D86CFD22-F867-2CF7-8C56-58ED42BD2BE6,177,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"TB_CHATBOT_LOG",,,VARCHAR2,6,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",500 CHAR,,,
"cidade",49F9639E-A117-F98A-81AD-F6FF7C16A144,192,,F0DCA372-CFB3-982D-A9D7-FB7B55198534,178,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"TB_ENDERECO",,,VARCHAR2,5,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",50 CHAR,,,
"contato_autoridade",80A5F49A-55D9-E079-24FE-132528625378,193,,1482759F-CE1E-5498-B570-C3DDF62619C9,176,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"TB_AUTORIDADE",,,VARCHAR2,6,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",200 CHAR,,,
"data_hora",95779497-437B-1207-CB0C-B865EC390631,194,,6D3B484D-77F7-5E3A-0AD0-9B583EF0BCA5,184,N,Logical Type,,N,,,,DOM3000004,1,LOGDT008,16,,,,,,,,,N,,Datetime,,,,N,Y,"TB_REPORTE",,,DATE,3,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"data_hora",9201202F-408C-CF7B-A6AC-F630317E710E,195,,BF34F1FB-612B-E75C-69C9-E2368632743E,188,N,Logical Type,,N,,,,DOM3000004,1,LOGDT008,16,,,,,,,,,N,,Datetime,,,,N,Y,"TB_STATUS_REPORTE",,,DATE,3,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"data_hora_medicao",29FF5282-6B32-DBCC-E83B-325D8EBB961A,196,,9B786F98-8A13-725C-01EA-774F48CB32B4,181,N,Logical Type,,N,,,,DOM3000004,1,LOGDT008,16,,,,,,,,,N,,Datetime,,,,N,Y,"TB_MEDICOES_METEOROLOGICAS",,,DATE,2,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"descricao_ocorrencia",93AF7991-B0F9-E75B-5D24-E9F43DA3D96A,197,,181CDE6C-9580-D608-098D-13672312B8E0,182,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"TB_OCORRENCIA",,,VARCHAR2,2,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",50 CHAR,,,
"descricao_status",8B96B73E-9C39-C880-8C47-34A23BB2EC05,198,,2B0D87B5-F020-67C5-33D5-0396C399D2E5,187,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"TB_STATUS",,,VARCHAR2,2,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",20 CHAR,,,
"direcao_vento",91DF4FB4-C853-B97C-8525-99C60E81138B,199,,9B786F98-8A13-725C-01EA-774F48CB32B4,181,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"TB_MEDICOES_METEOROLOGICAS",,,VARCHAR2,7,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",5,,,
"email_autoridade",2B3C1166-A27E-B71E-641A-9FDB9E81F375,200,,9B179558-8D73-62CD-CABF-0674E0BE0F74,180,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"TB_LOGIN",,,VARCHAR2,2,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",30 CHAR,,,
"estado",7AE57AE7-1DB8-815B-CBC8-0EBD49BED2E0,201,,F0DCA372-CFB3-982D-A9D7-FB7B55198534,178,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"TB_ENDERECO",,,VARCHAR2,6,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",50 CHAR,,,
"hora_mensagem",3D90340A-A60C-D4EE-88E2-5F4ED98DE77E,202,,D86CFD22-F867-2CF7-8C56-58ED42BD2BE6,177,N,Logical Type,,N,,,,DOM3000004,1,LOGDT008,16,,,,,,,,,N,,Datetime,,,,N,Y,"TB_CHATBOT_LOG",,,DATE,3,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_autoridade",CBDA48B5-FB60-9B26-437F-052003624FB6,203,,1482759F-CE1E-5498-B570-C3DDF62619C9,176,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_AUTORIDADE",P,,INTEGER,1,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_autoridade",22A3266B-7BC1-F00E-9B51-20B398910D51,204,,9B179558-8D73-62CD-CABF-0674E0BE0F74,180,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_LOGIN",,F,INTEGER,1,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_autoridade",8DEBDF8E-7F0B-F335-B881-42AE46E6780A,205,,E800FEE1-A976-F625-ECD8-A6E7FF637DC6,185,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_REPORTE_AUTORIDADE",P,F,INTEGER,2,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_endereco",A57BA99D-26D9-9CF3-B087-C4874A5A4C0E,206,,F0DCA372-CFB3-982D-A9D7-FB7B55198534,178,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_ENDERECO",P,,INTEGER,1,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_endereco",7928EE9E-263F-121A-7215-8EAC1FD34E58,207,,4093F3A3-25B5-9F08-38CC-C4E44E1D4650,179,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,Y,,Integer,,,,N,Y,"TB_ESTACOES_METEOROLOGICAS",,F,INTEGER,2,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_endereco",77AD59F8-34BB-F2D6-A1DB-064BFB97970B,208,,1482759F-CE1E-5498-B570-C3DDF62619C9,176,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,Y,,Integer,,,,N,Y,"TB_AUTORIDADE",,F,INTEGER,2,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_endereco",5CB87FE3-2682-058B-675B-31F75C61BB60,209,,734B5407-7EC9-92F6-0F6E-FEFD1CA0C7B0,189,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_SUBPREFEITURA",,F,INTEGER,2,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_estacao_meteo",A85843B4-59D3-1C54-8856-54487B68F42B,210,,4093F3A3-25B5-9F08-38CC-C4E44E1D4650,179,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_ESTACOES_METEOROLOGICAS",P,,INTEGER,1,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_estacao_meteo",96543B6C-5DAB-E249-D87B-70A715E151B4,211,,9B786F98-8A13-725C-01EA-774F48CB32B4,181,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_MEDICOES_METEOROLOGICAS",,F,INTEGER,1,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_log",C219A6F5-34F2-CE7A-4020-4FEC13D77531,212,,D86CFD22-F867-2CF7-8C56-58ED42BD2BE6,177,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_CHATBOT_LOG",P,,INTEGER,1,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_ocorrencia",7F9BD705-CBDC-3F6A-0D54-CEDE34899556,213,,181CDE6C-9580-D608-098D-13672312B8E0,182,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_OCORRENCIA",P,,INTEGER,1,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_ocorrencia",33D577AA-BB18-230B-371C-241A65A804EE,214,,788ED255-5CD3-AD7A-9E9D-374F298015C5,186,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_REPORTE_OCORRENCIA",P,F,INTEGER,2,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_reporte",7354B9B0-C87F-58FB-7CA4-F2429CFA8C26,215,,6D3B484D-77F7-5E3A-0AD0-9B583EF0BCA5,184,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_REPORTE",P,,INTEGER,1,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_reporte",8FFEFD38-6F5B-0E9D-885D-58F761AA94E6,216,,D86CFD22-F867-2CF7-8C56-58ED42BD2BE6,177,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_CHATBOT_LOG",P,F,INTEGER,2,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_reporte",DA21F9D4-4F47-2D0D-2D43-A2023F453B41,217,,E800FEE1-A976-F625-ECD8-A6E7FF637DC6,185,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_REPORTE_AUTORIDADE",P,F,INTEGER,3,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_reporte",36D1F490-45A4-B1E4-689C-3237E6C20178,218,,788ED255-5CD3-AD7A-9E9D-374F298015C5,186,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_REPORTE_OCORRENCIA",P,F,INTEGER,3,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_reporte",65219EDA-96ED-1AAB-02E2-4E01FFD36DBC,219,,BF34F1FB-612B-E75C-69C9-E2368632743E,188,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_STATUS_REPORTE",P,F,INTEGER,2,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_reporte_autoridade",E8B92E9D-5ACF-AACD-16A8-DA1AAB926FC2,220,,E800FEE1-A976-F625-ECD8-A6E7FF637DC6,185,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_REPORTE_AUTORIDADE",P,,INTEGER,1,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_reporte_ocorrencia",DE65D09F-3ED2-441E-CF04-2E0243D6B06D,221,,788ED255-5CD3-AD7A-9E9D-374F298015C5,186,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_REPORTE_OCORRENCIA",P,,INTEGER,1,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_status",7EA35636-8CBB-96AF-D0A9-4955148E3185,222,,2B0D87B5-F020-67C5-33D5-0396C399D2E5,187,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_STATUS",P,,INTEGER,1,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_status",EA635323-63D1-D56C-B480-AC99EE94859C,223,,BF34F1FB-612B-E75C-69C9-E2368632743E,188,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_STATUS_REPORTE",P,F,INTEGER,1,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_subprefeitura",743F3230-8C2B-5C7F-8704-90FED7D00F1D,224,,734B5407-7EC9-92F6-0F6E-FEFD1CA0C7B0,189,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_SUBPREFEITURA",P,,INTEGER,1,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"latitude",70C84499-C08F-12CB-E52A-66B59B51C692,225,,6D3B484D-77F7-5E3A-0AD0-9B583EF0BCA5,184,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"TB_REPORTE",,,VARCHAR2,4,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",20 CHAR,,,
"longitude",70FE9AD0-BB03-6DDD-CA90-361A4C1C1C45,226,,6D3B484D-77F7-5E3A-0AD0-9B583EF0BCA5,184,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"TB_REPORTE",,,VARCHAR2,5,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",20 CHAR,,,
"mensagem_usuario",8983B698-6847-E9DC-4039-7AFB3617EE4A,227,,D86CFD22-F867-2CF7-8C56-58ED42BD2BE6,177,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"TB_CHATBOT_LOG",,,VARCHAR2,5,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",200 CHAR,,,
"nome_autoridade",5BECCF25-005D-2C1E-89C8-E6E5FE147A6F,228,,1482759F-CE1E-5498-B570-C3DDF62619C9,176,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"TB_AUTORIDADE",,,VARCHAR2,3,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",50 CHAR,,,
"nome_prefeitura",7224374E-94F4-8833-8531-1C236A34E31F,229,,734B5407-7EC9-92F6-0F6E-FEFD1CA0C7B0,189,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"TB_SUBPREFEITURA",,,VARCHAR2,3,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",100 CHAR,,,
"nome_rua",5EBDF277-DB07-6083-31F7-261D22BF8EFE,230,,F0DCA372-CFB3-982D-A9D7-FB7B55198534,178,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"TB_ENDERECO",,,VARCHAR2,2,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",100 CHAR,,,
"num_identificacao",FC6EF093-040B-9E0F-A789-7AF0657BD4A5,231,,1482759F-CE1E-5498-B570-C3DDF62619C9,176,N,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_AUTORIDADE",,,INTEGER,5,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"numero",642E2FC9-ED0F-2D16-EF6B-73450E6EAF76,232,,F0DCA372-CFB3-982D-A9D7-FB7B55198534,178,N,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_ENDERECO",,,INTEGER,3,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"numero_tel_usuario",86BCA748-EB6C-C6CB-F97D-13E782364B99,233,,D86CFD22-F867-2CF7-8C56-58ED42BD2BE6,177,N,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_CHATBOT_LOG",,,INTEGER,4,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"pais",EB2E7C6A-858E-C308-2300-2B687DD38390,234,,F0DCA372-CFB3-982D-A9D7-FB7B55198534,178,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"TB_ENDERECO",,,VARCHAR2,7,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",50 CHAR,,,
"precipitacao",51D5D169-2401-A36A-4673-B8BB23E2E4F5,235,,9B786F98-8A13-725C-01EA-774F48CB32B4,181,N,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_MEDICOES_METEOROLOGICAS",,,INTEGER,8,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"pressao_atmosferica",4658F147-6D18-6D15-57DF-8E20C4A077C4,236,,9B786F98-8A13-725C-01EA-774F48CB32B4,181,N,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_MEDICOES_METEOROLOGICAS",,,INTEGER,4,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"radiacao_solar",803D168E-D4E5-DADC-3D45-D2684BB78652,237,,9B786F98-8A13-725C-01EA-774F48CB32B4,181,N,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_MEDICOES_METEOROLOGICAS",,,INTEGER,9,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"senha",A3BBF023-564D-EB4B-0286-EC4271D82FB6,238,,9B179558-8D73-62CD-CABF-0674E0BE0F74,180,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"TB_LOGIN",,,VARCHAR2,3,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",20 CHAR,,,
"temperatura",0557C31B-0560-57F1-6F0A-79ECFD7D128D,239,,9B786F98-8A13-725C-01EA-774F48CB32B4,181,N,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"TB_MEDICOES_METEOROLOGICAS",,,NUMBER,3,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,5,2,
"tipo_autoridade",E6E5B266-6AF7-4B5C-73A3-EB5A6F873571,240,,1482759F-CE1E-5498-B570-C3DDF62619C9,176,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"TB_AUTORIDADE",,,VARCHAR2,4,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",20 CHAR,,,
"umidade",161ED9B2-3F91-3514-50FE-42C4AFB134FE,241,,9B786F98-8A13-725C-01EA-774F48CB32B4,181,N,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_MEDICOES_METEOROLOGICAS",,,INTEGER,5,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"velocidade_vento",78E125FC-8D46-BBA9-F827-0565864ADD3D,242,,9B786F98-8A13-725C-01EA-774F48CB32B4,181,N,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_MEDICOES_METEOROLOGICAS",,,INTEGER,6,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_autoridade",74D37331-B0FB-F746-85C5-F6B7AF424488,243,,94BE37A9-2BB8-3685-8B38-40F3E36358E7,183,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_REGIAO_ATUACAO",,F,INTEGER,1,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_subprefeitura",12A210FC-19B6-D5B3-FD40-880ACE6EE8C8,244,,94BE37A9-2BB8-3685-8B38-40F3E36358E7,183,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_REGIAO_ATUACAO",,F,INTEGER,2,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
"id_endereco",D7307A1F-0415-0907-38A0-C67032121529,245,,6D3B484D-77F7-5E3A-0AD0-9B583EF0BCA5,184,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"TB_REPORTE",,F,INTEGER,2,F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",,,,
