Relation_Name,ModelID,Num_ModelID,ObjectID,NumOID,ImportID,Source_Entity_Name,Target_Entity_Name,Source_Label,Target_Label,SourceTo_Target_Cardinality,TargetTo_Source_Cardinality,Source_Optional,Target_Optional,Dominant_Role,Identifying,Source_ID,Num_Source_ID,Target_ID,Num_Target_ID,Number_Of_Attributes
"Relation_10",E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,E3F32F60-E7D9-C0BA-C528-675F7B1C1CA6,160,,"TB_AUTORIDADE","TB_REGIAO_ATUACAO",,,"*","1",Y,N,"None",Y,1B2BB4B2-3E50-3B16-7C04-A91BEFD97CD8,72,BB05F962-20AA-CCE9-18C2-51DEA2A9A7C1,79,1,
"Relation_12",E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,B86EE175-8873-5532-A66F-62423481D928,161,,"TB_ENDERECO","TB_ESTACOES_METEOROLOGICAS",,,"*","1",Y,N,"None",Y,948CB763-06B2-7089-5BCE-A2201CD40921,74,396BA01D-AF73-4A6C-4589-80126BF986BA,75,1,
"Relation_13",E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,F25AB7C5-463F-EBEA-6E5D-EE4C45B1C3C9,162,,"TB_ESTACOES_METEOROLOGICAS","TB_MEDICOES_METEOROLOGICAS",,,"*","1",Y,N,"None",Y,396BA01D-AF73-4A6C-4589-80126BF986BA,75,71ED427E-3C76-14BB-18D2-6AE4331707F9,77,2,
"Relation_14",E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,3ADBD062-4DC9-31EA-2F7F-8B2D479F65A0,163,,"TB_OCORRENCIA","TB_REPORTE_OCORRENCIA",,,"*","1",Y,N,"None",Y,14B7E047-E344-5F96-E458-3B352E4A38D6,78,549097C1-DAAD-397D-EACF-63D80E9B075B,82,1,
"Relation_15",E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,6B6571B5-B66D-BF7F-C991-551EB31916E6,164,,"TB_REPORTE","TB_REPORTE_OCORRENCIA",,,"*","1",Y,N,"None",Y,393993FF-19F1-E342-3FD5-AA99371CB3DF,80,549097C1-DAAD-397D-EACF-63D80E9B075B,82,2,
"Relation_16",E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,E2B3A1E4-BAEF-6E35-7FCD-B474DD1A3483,165,,"TB_ENDERECO","TB_SUBPREFEITURA",,,"*","1",Y,N,"None",Y,948CB763-06B2-7089-5BCE-A2201CD40921,74,CB146D74-772C-729F-4A55-8250F2A012C4,85,1,
"Relation_17",E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,7A078E80-E3B5-694E-39EC-5E452F6B70B9,166,,"TB_ENDERECO","TB_REPORTE",,,"*","1",Y,N,"None",Y,948CB763-06B2-7089-5BCE-A2201CD40921,74,393993FF-19F1-E342-3FD5-AA99371CB3DF,80,1,
"Relation_2",E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,453D5595-AA8A-4583-F8B4-E720910F7344,167,,"TB_AUTORIDADE","TB_LOGIN",,,"1","1",Y,N,"None",N,1B2BB4B2-3E50-3B16-7C04-A91BEFD97CD8,72,83105768-F5C2-D4D4-FBA4-9EDE9A66E2D8,76,1,
"Relation_3",E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,E64B00E0-933C-C778-3F0A-4D9F478E3D46,168,,"TB_AUTORIDADE","TB_REPORTE_AUTORIDADE",,,"*","1",Y,N,"None",Y,1B2BB4B2-3E50-3B16-7C04-A91BEFD97CD8,72,03FE75E7-2A8E-B202-ED63-6FDF16D724E6,81,1,
"Relation_4",E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,EDC61571-7329-4059-5ED4-1C321543B8A3,169,,"TB_REPORTE","TB_REPORTE_AUTORIDADE",,,"*","1",Y,N,"None",Y,393993FF-19F1-E342-3FD5-AA99371CB3DF,80,03FE75E7-2A8E-B202-ED63-6FDF16D724E6,81,2,
"Relation_5",E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,AA0B52FE-C02A-628F-BA2F-B077B09BD65D,170,,"TB_STATUS","TB_STATUS_REPORTE",,,"*","1",Y,N,"None",Y,36BC0656-D8B2-44DA-7C3C-D4B113B12ED2,83,79B6A2F5-EF0D-B830-8177-5E8D3B932C57,84,1,
"Relation_6",E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,D6D212F8-CF51-54FB-FF31-45F3489C333A,171,,"TB_REPORTE","TB_STATUS_REPORTE",,,"*","1",Y,N,"None",Y,393993FF-19F1-E342-3FD5-AA99371CB3DF,80,79B6A2F5-EF0D-B830-8177-5E8D3B932C57,84,2,
"Relation_7",E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,5B53DAD7-F702-7072-32BA-CC45E40C9FDB,172,,"TB_REPORTE","TB_CHATBOT_LOG",,,"*","1",Y,N,"None",Y,393993FF-19F1-E342-3FD5-AA99371CB3DF,80,3B2701B3-D435-AEEA-AA32-F9606A6899F0,73,2,
"Relation_8",E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,61E76B38-1A7F-A927-CFF4-99767E7DF7F4,173,,"TB_ENDERECO","TB_AUTORIDADE",,,"*","1",Y,N,"None",Y,948CB763-06B2-7089-5BCE-A2201CD40921,74,1B2BB4B2-3E50-3B16-7C04-A91BEFD97CD8,72,0,
"Relation_9",E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,CEDAF9BE-A649-6D3B-B05B-DF4683D66EE5,174,,"TB_SUBPREFEITURA","TB_REGIAO_ATUACAO",,,"*","1",Y,N,"None",Y,CB146D74-772C-729F-4A55-8250F2A012C4,85,BB05F962-20AA-CCE9-18C2-51DEA2A9A7C1,79,2,
